POKEMON RED, BLUE AND YELLOW ATTACKS LISTING
Move          Type     PP  Power Acc   Effect
Double Kick   Fighting 30  30    100%  Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.
Double Team   Normal   15  N/A   N/A   Raises the user's Evasion by 1 stage.
Double-edge   Normal   15  100   100%  The user receives 1/4 recoil damage.
Doubleslap    Normal   10  15    85%   Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Dragon Rage   Dragon   10  Set   100%  Always deals 40 points of damage.
Dream Eater   Psychic  15  100   100%  Restores the user's HP by 1/2 of the damage inflicted on the target but only works on a sleeping target.
Drill Peck    Flying   20  80    100%  Damages the target.
Earthquake    Ground   10  100   100%  Damages the target.
Egg Bomb      Normal   10  100   75%   Damages the target.
Ember         Fire     25  40    100%  Has a ~10% chance to burn the target.
Explosion     Normal   5   170   100%  The Defense stat of other Pokemon is halved against this attack, essentially doubling the move's base power; causes the user to faint.
Fire Blast    Fire     5   120   85%   Has a ~30% chance to burn the target.
Fire Punch    Fire     15  75    100%  Has a ~10% chance to burn the target.
Fire Spin     Fire     15  15    70%   The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.
Fissure       Ground   5   KO    30%   The target faints; doesn't work on faster or higher-leveled Pokemon.
Flamethrower  Fire     15  95    100%  Has a ~10% chance to burn the target.
Flash         Normal   20  N/A   70%   Lowers the target's Accuracy by 1 stage.
Fly           Flying   15  70    95%   On the first turn, the user flies into the air, becoming uncontrollable, and evades most attacks. Swift may still hit a Pokemon in the air. On the second turn, the user attacks.
Focus Energy  Normal   30  N/A   N/A   Decreases critical hit ratio in-game, but raises it in Pokemon Stadium.
Fury Attack   Normal   20  15    85%   Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Fury Swipes   Normal   15  10    80%   Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Glare         Normal   30  N/A   75%   Paralyzes the target. This move works on Ghost-type Pokemon.
Growl         Normal   40  N/A   100%  Lowers the target's Attack by 1 stage.
Growth        Normal   40  N/A   N/A   Raises the user's Special by 1 stage.
Guillotine    Normal   5   KO    30%   The target faints; doesn't work on faster or higher-leveled Pokemon.
Gust          Normal   35  40    100%  Damages the target.
Harden        Normal   30  N/A   N/A   Raises the user's Defense by 1 stage.
Haze          Ice      30  N/A   N/A   Eliminates any stat modifiers from all active Pokemon. Also removes Leech Seed, Reflect and Light Screen from either Pokemon and cures the opponent of any status conditions (including Toxic). If the user of Haze has Toxic poisoning, it will be downgraded to regular poisoning.
Headbutt      Normal   15  70    100%  Has a ~30% chance to make the target flinch.
Hi Jump Kick  Fighting 20  85    90%   If this attack misses the target, the user receives 1 HP of damage.
Horn Attack   Normal   25  65    100%  Damages the target.
Horn Drill    Normal   5   KO    30%   The target faints; doesn't work on faster or higher-leveled Pokemon.
Hydro Pump    Water    5   120   80%   Damages the target.
Hyper Beam    Normal   5   150   90%   In Stadium, the user becomes uncontrollable during its next turn. Otherwise, the user attacks on turn one but it doesn't recharge on turn two if it KOs the target, breaks its Substitute or misses entirely.
Hyper Fang    Normal   15  80    90%   Has a ~10% chance to make the target flinch.
Hypnosis      Psychic  20  N/A   60%   Puts the target to sleep.
Ice Beam      Ice      10  95    100%  Has a ~10% chance to freeze the target.
Ice Punch     Ice      15  75    100%  Has a ~10% chance to freeze the target.
Jump Kick     Fighting 20  70    95%   If this attack misses the target, the user receives 1 HP of damage.
Karate Chop   Normal   25  55    100%  Has a high critical hit ratio.
Kinesis       Psychic  15  N/A   80%   Lowers the target's Accuracy by 1 stage.
Leech Life    Bug      15  20    100%  Restores the user's HP by 1/2 of the damage inflicted on the target.
Leech Seed    Grass    10  N/A   90%   The user steals 1/16 of the target's max HP (or more if used in conjunction with Toxic) until either Pokemon uses Haze or the target is switched out or KO'ed; does not work on Grass-type Pokemon, but will work against Pokemon behind Substitutes.
Leer          Normal   30  N/A   100%  Lowers the target's Defense by 1 stage.
Lick          Ghost    30  20    100%  Has a ~30% chance to paralyze the target. This move fails against Psychic-type Pokemon.
Light Screen  Psychic  30  N/A   N/A   The user receives 1/2 damage from Special attacks until it switches out or either Pokemon uses Haze.
Lovely Kiss   Normal   10  N/A   75%   Puts the target to sleep.
Low Kick      Fighting 20  50    90%   Has a ~30% chance to make the target flinch.
Meditate      Psychic  40  N/A   N/A   Raises the user's Attack by 1 stage.
Mega Drain    Grass    10  40    100%  Restores the user's HP by 1/2 of the damage inflicted on the target.
Mega Kick     Normal   5   120   75%   Damages the target.
Mega Punch    Normal   20  80    85%   Damages the target.
Metronome     Normal   10  N/A   N/A   The user performs a randomly selected move; almost any move in the game could be picked. Metronome cannot generate itself, Struggle or any move that the user already knows.
Mimic         Normal   10  N/A   100%  This move is temporarily replaced by one of the target's moves; after one PP is subtracted to use this move, the replacement move will retain Mimic's remaining PP. The user can select any of the target's moves to copy until the end of the battle or until the user switches out. There are no move restrictions on Mimic other than itself and Struggle. However, in a link battle, Mimic will copy one of the target's attacks randomly.
Minimize      Normal   20  N/A   N/A   Raises the user's Evasion by 1 stage.
Mirror Move   Flying   20  Copy  N/A   The user performs the last move executed by its target; if applicable, an attack's damage is calculated with the user's stats, level and type(s). This moves fails if the target has not yet used a move. Mirror Move also cannot copy itself.
Mist          Ice      30  N/A   N/A   Protects the user from negative stat modifiers caused by other Pokemon until it switches out. The user's Accuracy and Evasion stats are also protected. Moves that cause negative stat modifiers as a secondary effect, such as Psychic, still deal their regular damage.
Night Shade   Ghost    15  Var   100%  Does damage equal to user's level. This move hits Normal-type Pokemon.
Pay Day       Normal   20  40    100%  The player picks up extra money after in-game battles; the money received is equal to: [user's level * 2 * number of times Pay Day is used]. The player does not lose money if the opponent uses Pay Day but the player wins the battle.
Peck          Flying   35  35    100%  Damages the target.
Petal Dance   Grass    20  70    100%  The user attacks uncontrollably for 2-3 turns and then gets confused.
Pin Missile   Bug      20  14    85%   Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Poison Gas    Poison   40  N/A   55%   Poisons the target.
Poison Sting  Poison   35  15    100%  Has a ~20% chance to poison the target.
Poisonpowder  Poison   35  N/A   75%   Poisons the target.
Pound         Normal   35  40    100%  Damages the target.
Psybeam       Psychic  20  65    100%  Has a ~10% chance to confuse the target.
Psychic       Psychic  10  90    100%  Has a ~30% chance to lower the target's Special by 1 stage.
Psywave       Psychic  15  Var   80%   Randomly inflicts set damage between a minimum of 1 HP and a maximum of [1.5x the user's level] HP.
Quick Attack  Normal   30  40    100%  Usually goes first.
Rage          Normal   20  20    100%  The user attacks uncontrollably until it faints or its target faints. During this time, the user's Attack increases by 1 stage for each time it is hit by the target. If this move misses, the user continues to attack but has only a 1/256 chance to land a hit.
Razor Leaf    Grass    25  55    95%   Has a high critical hit ratio.
Razor Wind    Normal   10  80    75%   The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.
Recover       Normal   20  N/A   N/A   Restores 1/2 of the user's max HP. However, this move fails if the user's current HP is 511 or 255 HP below its value at full health.
Reflect       Psychic  20  N/A   N/A   The user receives 1/2 damage from Physical attacks until it switches out or either Pokemon uses Haze.
Rest          Psychic  10  N/A   N/A   The user is cured of status effects (and confusion), and recovers full HP, but falls asleep for 2 turns (and then uses a third turn to wake up). However, this move fails if the user's current HP is 511 or 255 HP below its value at full health.
Roar          Normal   20  N/A   100%  Escapes from wild battles; fails automatically in trainer and link battles.
Rock Slide    Rock     10  75    90%   Damages the target.
Rock Throw    Rock     15  50    65%   Damages the target.
Rolling Kick  Fighting 15  60    85%   Has a ~30% chance to make the target flinch.
Sand-Attack   Ground   15  N/A   100%  Lowers the target's Accuracy by 1 stage.
Scratch       Normal   35  40    100%  Damages the target.
Screech       Normal   10  N/A   85%   Lowers the target's Defense by 2 stages.
Seismic Toss  Fighting 20  Var   100%  Does damage equal to user's level. Hits Ghost-type Pokemon.
Selfdestruct  Normal   5   130   100%  The Defense stat of other Pokemon is halved against this attack, essentially doubling the move's base power; causes the user to faint.
Sharpen       Normal   30  N/A   N/A   Raises the user's Attack by 1 stage.
Sing          Normal   15  N/A   55%   Puts the target to sleep.
Skull Bash    Normal   15  100   100%  The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.
Sky Attack    Flying   5   140   90%   The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.
Slam          Normal   20  80    75%   Damages the target.
Slash         Normal   20  70    100%  Has a high critical hit ratio.
Sleep Powder  Grass    15  N/A   75%   Puts the target to sleep.
Sludge        Poison   20  65    100%  Has a ~30% chance to poison the target.
Smog          Poison   20  20    100%  Has a ~30% chance to poison the target.
Smokescreen   Normal   20  N/A   100%  Lowers the target's Accuracy by 1 stage.
Softboiled    Normal   10  N/A   N/A   Restores 1/2 of the user's max HP. However, this move fails if the user's current HP is 511 or 255 HP below its value at full health.
Solarbeam     Grass    10  120   100%  The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.
Sonicboom     Normal   20  Set   90%   Always deals 20 points of damage.
Spike Cannon  Normal   15  20    100%  Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Splash        Normal   40  N/A   N/A   Doesn't do anything (but we still love it).
Spore         Grass    15  N/A   100%  Puts the target to sleep.
Stomp         Normal   20  65    100%  Has a ~30% chance to make the target flinch.
Strength      Normal   15  80    100%  Damages the target.
String Shot   Bug      40  N/A   95%   Lowers the target's Speed by 1 stage.
Struggle      Normal   1   50    100%  Used automatically when all of the user's other moves have run out of PP or are otherwise inaccessible. The user receives 1/4 recoil damage. Struggle is classified as a Normal-type move, so it is resisted by Rock-type Pokemon and cannot hit Ghost-type Pokemon at all.
Stun Spore    Grass    30  N/A   75%   Paralyzes the target.
Submission    Fighting 20  80    80%   The user receives 1/4 recoil damage.
Substitute    Normal   10  N/A   N/A   The user takes one-fourth of its maximum HP to create a substitute; this move fails if the user does not have enough HP for this. Until the substitute is broken, it receives damage from all attacks made by other Pokemon. In-game, the user can still be inflicted with status effects and stat modifiers from other Pokemon, but this is fixed in Pokemon Stadium. If a Substitute breaks from a hit during a multistrike move such as Fury Attack, the user takes damage from the remaining strikes.
Super Fang    Normal   10  Var   90%   This move halves the target's current HP.
Supersonic    Normal   20  N/A   55%   Confuses the target.
Surf          Water    15  95    100%  Damages the target.
Swift         Normal   20  60    100%  Ignores Evasion and Accuracy modifiers and will hit Pokemon even if they are in the middle of Fly or Dig. Has a 1-in-256 chance of missing.
Swords Dance  Normal   30  N/A   N/A   Raises the user's Attack by 2 stages.
Tackle        Normal   35  35    95%   Damages the target.
Tail Whip     Normal   30  N/A   100%  Lowers the target's Defense by 1 stage.
Take Down     Normal   20  90    85%   The user receives 1/4 recoil damage.
Teleport      Psychic  20  N/A   N/A   Escapes from wild battles; fails automatically in trainer and link battles.
Thrash        Normal   20  90    100%  The user attacks uncontrollably for 2-3 turns and then gets confused.
Thunder       Electric 10  120   70%   Has a ~10% chance to paralyze the target.
Thunder Wave  Electric 20  N/A   100%  Paralyzes the target.
Thunderbolt   Electric 15  95    100%  Has a ~10% chance to paralyze the target.
Thunderpunch  Electric 15  75    100%  Has a ~10% chance to paralyze the target.
Thundershock  Electric 30  40    100%  Has a ~10% chance to paralyze the target.
Toxic         Poison   10  N/A   85%   The target is badly poisoned, with the damage caused by poison doubling after each turn. However, Toxic poisoning will revert to normal poisoning if the poisoned Pokemon is switched out or uses Haze. Damage caused by Leech Seed will also increase as Toxic damage increases.
Transform     Normal   10  N/A   N/A   The user morphs into a near-exact copy of the target. Stats, stat modifiers, type, moves and appearance are changed; the user's level and HP remain the same and each copied move receives only 5 PP.
Tri Attack    Normal   10  80    100%  Damages the target.
Twineedle     Bug      20  25    100%  Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit. Has a ~20% chance to poison the target .
Vicegrip      Normal   30  55    100%  Damages the target.
Vine Whip     Grass    10  35    100%  Damages the target.
Water Gun     Water    25  40    100%  Damages the target.
Waterfall     Water    15  80    100%  Damages the target.
Whirlwind     Normal   20  N/A   100%  Escapes from wild battles; fails automatically in trainer and link battles.
Wing Attack   Flying   35  35    100%  Damages the target.
Withdraw      Water    40  N/A   N/A   Raises the user's Defense by 1 stage.
Wrap          Normal   20  15    85%   The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.
