t,T_NORMAL,     z,Z_PHYSICAL,  p,-,     d,50,   a,—;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,10,    d,100,  a,.95;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,15,    d,60,   a,.85;
t,T_GROUND,     z,Z_STATUS,    p,15,    d,—,    a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,70,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,25,    d,65,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,15,   a,.85;
t,T_NORMAL,     z,Z_PHYSICAL,  p,5,     d,—,    a,.3;
t,T_NORMAL,     z,Z_PHYSICAL,  p,35,    d,40,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,85,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,15,   a,.9;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,90,   a,.85;
t,T_NORMAL,     z,Z_PHYSICAL,  p,10,    d,120,  a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,120,  a,1;
t,T_NORMAL,     z,Z_STATUS,    p,30,    d,—,    a,1;
t,T_POISON,     z,Z_PHYSICAL,  p,35,    d,15,   a,1;
t,T_BUG,        z,Z_PHYSICAL,  p,20,    d,25,   a,1;
t,T_BUG,        z,Z_PHYSICAL,  p,20,    d,25,   a,.95;
t,T_NORMAL,     z,Z_STATUS,    p,30,    d,—,    a,1;
t,T_DARK,       z,Z_PHYSICAL,  p,25,    d,60,   a,1;
t,T_NORMAL,     z,Z_STATUS,    p,40,    d,—,    a,1;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,15,    d,—,    a,.55;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,.55;
t,T_NORMAL,     z,Z_SPECIAL,   p,20,    d,—,    a,.9;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,1;
t,T_POISON,     z,Z_SPECIAL,   p,30,    d,40,   a,1;
t,T_FIRE,       z,Z_SPECIAL,   p,25,    d,40,   a,1;
t,T_FIRE,       z,Z_SPECIAL,   p,15,    d,90,   a,1;
t,T_ICE,        z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_WATER,      z,Z_SPECIAL,   p,25,    d,40,   a,1;
t,T_WATER,      z,Z_SPECIAL,   p,5,     d,110,  a,.8;
t,T_WATER,      z,Z_SPECIAL,   p,15,    d,90,   a,1;
t,T_ICE,        z,Z_SPECIAL,   p,10,    d,90,   a,1;
t,T_ICE,        z,Z_SPECIAL,   p,5,     d,110,  a,.7;
t,T_PSYCHIC,    z,Z_SPECIAL,   p,20,    d,65,   a,1;
t,T_WATER,      z,Z_SPECIAL,   p,20,    d,65,   a,1;
t,T_ICE,        z,Z_SPECIAL,   p,20,    d,65,   a,1;
t,T_NORMAL,     z,Z_SPECIAL,   p,5,     d,150,  a,.9;
t,T_FLYING,     z,Z_PHYSICAL,  p,35,    d,35,   a,1;
t,T_FLYING,     z,Z_PHYSICAL,  p,20,    d,80,   a,1;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,20,    d,80,   a,.8;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,20,    d,—,    a,1;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,20,    d,—,    a,1;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,20,    d,—,    a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,80,   a,1;
t,T_GRASS,      z,Z_SPECIAL,   p,25,    d,20,   a,1;
t,T_GRASS,      z,Z_SPECIAL,   p,15,    d,40,   a,1;
t,T_GRASS,      z,Z_STATUS,    p,10,    d,—,    a,.9;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_GRASS,      z,Z_PHYSICAL,  p,25,    d,55,   a,.95;
t,T_GRASS,      z,Z_SPECIAL,   p,10,    d,120,  a,1;
t,T_POISON,     z,Z_STATUS,    p,35,    d,—,    a,.75;
t,T_GRASS,      z,Z_STATUS,    p,30,    d,—,    a,.75;
t,T_GRASS,      z,Z_STATUS,    p,15,    d,—,    a,.75;
t,T_GRASS,      z,Z_SPECIAL,   p,10,    d,120,  a,1;
t,T_BUG,        z,Z_STATUS,    p,40,    d,—,    a,.95;
t,T_DRAGON,     z,Z_SPECIAL,   p,10,    d,—,    a,1;
t,T_FIRE,       z,Z_SPECIAL,   p,15,    d,35,   a,.85;
t,T_ELECTRIC,   z,Z_SPECIAL,   p,30,    d,40,   a,1;
t,T_ELECTRIC,   z,Z_SPECIAL,   p,15,    d,90,   a,1;
t,T_ELECTRIC,   z,Z_STATUS,    p,20,    d,—,    a,.9;
t,T_ELECTRIC,   z,Z_SPECIAL,   p,10,    d,110,  a,.7;
t,T_ROCK,       z,Z_PHYSICAL,  p,15,    d,50,   a,.9;
t,T_GROUND,     z,Z_PHYSICAL,  p,10,    d,100,  a,1;
t,T_GROUND,     z,Z_PHYSICAL,  p,5,     d,—,    a,.3;
t,T_GROUND,     z,Z_PHYSICAL,  p,10,    d,80,   a,1;
t,T_POISON,     z,Z_STATUS,    p,10,    d,—,    a,.9;
t,T_PSYCHIC,    z,Z_SPECIAL,   p,25,    d,50,   a,1;
t,T_PSYCHIC,    z,Z_SPECIAL,   p,10,    d,90,   a,1;
t,T_PSYCHIC,    z,Z_STATUS,    p,20,    d,—,    a,.6;
t,T_PSYCHIC,    z,Z_STATUS,    p,40,    d,—,    a,—;
t,T_PSYCHIC,    z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_NORMAL,     z,Z_PHYSICAL,  p,30,    d,40,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,20,   a,1;
t,T_PSYCHIC,    z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_GHOST,      z,Z_SPECIAL,   p,15,    d,—,    a,1;
t,T_NORMAL,     z,Z_STATUS,    p,10,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,40,    d,—,    a,.85;
t,T_NORMAL,     z,Z_STATUS,    p,15,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,5,     d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,10,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,1;
t,T_GHOST,      z,Z_STATUS,    p,10,    d,—,    a,1;
t,T_WATER,      z,Z_STATUS,    p,40,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,40,    d,—,    a,—;
t,T_PSYCHIC,    z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_PSYCHIC,    z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_ICE,        z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_PSYCHIC,    z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_NORMAL,     z,Z_PHYSICAL,  p,10,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,10,    d,—,    a,—;
t,T_FLYING,     z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_NORMAL,     z,Z_PHYSICAL,  p,5,     d,200,  a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,10,    d,100,  a,.75;
t,T_GHOST,      z,Z_PHYSICAL,  p,30,    d,30,   a,1;
t,T_POISON,     z,Z_SPECIAL,   p,20,    d,30,   a,.7;
t,T_POISON,     z,Z_SPECIAL,   p,20,    d,65,   a,1;
t,T_GROUND,     z,Z_PHYSICAL,  p,20,    d,65,   a,.85;
t,T_FIRE,       z,Z_SPECIAL,   p,5,     d,110,  a,.85;
t,T_WATER,      z,Z_PHYSICAL,  p,15,    d,80,   a,1;
t,T_WATER,      z,Z_PHYSICAL,  p,15,    d,35,   a,.85;
t,T_NORMAL,     z,Z_SPECIAL,   p,20,    d,60,   a,—;
t,T_NORMAL,     z,Z_PHYSICAL,  p,10,    d,130,  a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,20,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,35,    d,10,   a,1;
t,T_PSYCHIC,    z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_PSYCHIC,    z,Z_STATUS,    p,15,    d,—,    a,.8;
t,T_NORMAL,     z,Z_STATUS,    p,5,     d,—,    a,—;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,10,    d,130,  a,.9;
t,T_NORMAL,     z,Z_STATUS,    p,30,    d,—,    a,1;
t,T_PSYCHIC,    z,Z_SPECIAL,   p,15,    d,100,  a,1;
t,T_POISON,     z,Z_STATUS,    p,40,    d,—,    a,.9;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,15,   a,.85;
t,T_BUG,        z,Z_PHYSICAL,  p,10,    d,80,   a,1;
t,T_NORMAL,     z,Z_STATUS,    p,10,    d,—,    a,.75;
t,T_FLYING,     z,Z_PHYSICAL,  p,5,     d,140,  a,.9;
t,T_NORMAL,     z,Z_STATUS,    p,10,    d,—,    a,—;
t,T_WATER,      z,Z_SPECIAL,   p,30,    d,40,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,10,    d,70,   a,1;
t,T_GRASS,      z,Z_STATUS,    p,15,    d,—,    a,1;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,1;
t,T_PSYCHIC,    z,Z_SPECIAL,   p,15,    d,—,    a,1;
t,T_NORMAL,     z,Z_STATUS,    p,40,    d,—,    a,—;
t,T_POISON,     z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_WATER,      z,Z_PHYSICAL,  p,10,    d,100,  a,.9;
t,T_NORMAL,     z,Z_PHYSICAL,  p,5,     d,250,  a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,18,   a,.8;
t,T_GROUND,     z,Z_PHYSICAL,  p,10,    d,50,   a,.9;
t,T_PSYCHIC,    z,Z_STATUS,    p,5,     d,—,    a,—;
t,T_ROCK,       z,Z_PHYSICAL,  p,10,    d,75,   a,.9;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,80,   a,.9;
t,T_NORMAL,     z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_NORMAL,     z,Z_STATUS,    p,30,    d,—,    a,—;
t,T_NORMAL,     z,Z_SPECIAL,   p,10,    d,80,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,10,    d,—,    a,.9;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,70,   a,1;
t,T_NORMAL,     z,Z_STATUS,    p,10,    d,—,    a,—;
